id,nome,descricao,preco
1,Notebook,"14"" i5 8GB SSD",3500.0
2,Mouse,Wireless USB,120.0
3,Teclado,Mecânico RGB,250.0
4,Monitor,"24"" LED Full HD",899.9
5,Headset,Gamer com microfone,320.0
6,Webcam,1080p com foco automático,210.0
7,HD Externo,1TB USB 3.0,380.0
8,Smartphone,Android 128GB,1899.99
9,Tablet,"10"" Android com caneta",1499.0
10,Carregador Portátil,10.000mAh USB-C,129.9
11,Cabo HDMI,1.5m Alta velocidade,39.9
12,Mousepad,Gamer RGB 35cm,89.9
13,Switch de Rede,8 portas Gigabit,179.9
14,Pen Drive,64GB USB 3.0,59.9
15,SSD Interno,512GB NVMe,499.9
16,Notebook Gamer,"15.6"" i7 RTX 3050",6200.0
17,Cadeira Gamer,Ergonômica com ajuste,990.0
18,Placa de Vídeo,GeForce RTX 4060,2599.0
19,Fonte ATX,650W 80 Plus Bronze,399.0
20,Teclado sem fio,Bluetooth recarregável,189.9
